date,equity_return,bond_3_5_return,bond_10_plus_return
7/29/2016,-0.001275691,0.007744556,0.008265941
8/31/2016,-0.020802076,0.00614972,-0.000364502
9/30/2016,0.016419579,0.005563198,0.007123307
10/31/2016,-0.02138293,0.002850515,0.008113061
11/30/2016,0.050847222,-0.010603074,-0.015047966
12/30/2016,-0.012057103,0.001382176,-0.006696158
1/31/2017,0.055620906,0.01142355,0.015448174
2/28/2017,0.015556343,0.006783527,0.008356984
3/31/2017,0.021271953,0.005445037,-0.000294519
4/28/2017,-0.001117141,0.006380501,0.013784208
5/31/2017,0.018193708,0.005276851,0.008516479
6/30/2017,0.006716485,0.003819261,-0.002796559
7/31/2017,0.035790942,0.003746556,0.003163014
8/31/2017,-0.018730537,0.00813406,0.008990195
9/29/2017,-0.013873165,0.005152458,0.003080766
10/31/2017,0.053186047,0.002317167,0.003626951
11/30/2017,0.025524007,0.001982117,0.013622385
12/29/2017,-0.002406812,2.45E-05,0.001491221
1/31/2018,0.041373371,-0.000794897,0.003423621
2/28/2018,-0.00998277,-0.00386208,-0.01148112
3/30/2018,-0.02334772,-0.001581335,0.008347296
4/30/2018,0.065664375,-0.002330394,-0.009118566
5/31/2018,-0.062112185,0.00115675,-0.010111822
6/29/2018,-0.056438783,-0.000317141,0.005228743
7/31/2018,0.009587321,0.007031925,0.003574482
8/31/2018,-0.021013896,0.007228986,0.001268453
9/28/2018,0.017111966,-0.002634145,-0.002398619
10/31/2018,-0.074074502,-0.00135128,0.004121684
11/30/2018,0.019350527,0.001624519,0.010175229
12/31/2018,-0.018180481,0.00705626,-0.007975943
1/31/2019,0.042432753,0.001676224,0.012288269
2/28/2019,0.002628286,0.004395555,0.000747187
3/29/2019,0.00888528,0.006963703,0.002675489
4/30/2019,0.065076114,0.004145312,0.004976312
5/31/2019,-0.093958911,0.006346463,0.011139621
6/28/2019,0.084118913,0.004701178,0.012183687
7/31/2019,-0.003004107,0.006412294,0.008748387
8/30/2019,-0.057102487,0.003483436,0.020766141
9/30/2019,0.008467538,0.002275575,0.008791304
10/31/2019,0.036784408,0.004314678,0.002461307
11/29/2019,-0.011408179,0.003572762,0.009125808
12/31/2019,0.012453931,0.005528651,0.00390462
1/31/2020,-0.021432843,0.006708802,0.014870695
2/28/2020,-0.050398143,0.004501393,0.005343302
3/31/2020,-0.183050826,-0.033273051,-0.039432552
4/30/2020,0.07113855,0.004038679,0.000887491
5/29/2020,-0.039426878,0.011438938,0.014208143
6/30/2020,0.021932472,0.011405893,0.038537029
7/31/2020,-0.019350888,0.005928409,0.008223174
8/31/2020,0.00111667,0.002328765,-0.009325214
9/30/2020,-0.026982997,0.00875523,0.026741422
10/30/2020,-0.028922877,0.006559697,0.003576957
11/30/2020,0.162272152,0.005838355,0.016523863
12/31/2020,0.012822997,0.005764317,0.00055772
1/29/2021,0.013135671,0.00534064,-0.003385823
2/26/2021,0.027955953,-0.00172514,-0.015897572
3/31/2021,0.061505423,0.00179915,-0.010219364
4/30/2021,0.017211231,-0.010131025,0.0100013
5/31/2021,-0.016309864,0.00319311,0.00987509
6/30/2021,-0.008522744,0.00176997,0.006041032
7/30/2021,0.020668912,0.006134414,0.008444387
8/31/2021,-0.030192838,0.009834417,-0.003800506
9/30/2021,0.007584183,-0.001705297,-0.003746342
10/29/2021,0.034909319,-0.004142989,-0.016453198
11/30/2021,-0.062655532,0.004727529,0.004243066
12/31/2021,-0.016302118,0.002441832,0.000356723
1/31/2022,-0.007717298,-0.004035987,-0.012449536
2/28/2022,-0.009070353,-0.005713092,-0.011679608
3/31/2022,0.002211209,-0.011940362,-0.029093765
4/29/2022,-0.062316006,-0.001887377,-0.018817586
5/31/2022,-0.04316719,-0.000340026,-0.008243079
6/30/2022,-0.06069141,-0.006710263,-0.017250722
7/29/2022,0.052664424,-0.00329291,0.01220948
8/31/2022,-0.021378273,0.002884836,-0.000723189
9/30/2022,-0.026602936,-0.015520292,-0.027934375
10/31/2022,-0.014518822,-0.008899271,-0.05512969
11/30/2022,0.074118,0.001242211,0.002350321
12/30/2022,-0.030515304,0.009488869,0.003969308
1/31/2023,0.053078431,0.01424169,0.014902928
2/28/2023,-0.030584583,0.004778359,0.004398854
3/31/2023,0.037142215,-0.013844772,0.009198455
4/28/2023,-0.014598642,0.016413514,0.014106787
5/31/2023,-0.05995435,0.011093278,-0.004719796
6/30/2023,0.015963383,0.006262067,0.010608206
7/31/2023,0.072654806,0.007306234,0.007359246
8/31/2023,-0.085225779,0.00201965,0.003449282
9/29/2023,0.006663893,0.002285255,-0.013425758
10/31/2023,-0.043212659,0.001123642,0.001775017
11/30/2023,-0.009651706,0.013825055,0.034548694
12/29/2023,0.058934547,0.009869589,0.010710767
1/31/2024,-0.031691354,0.003619956,0.026822331
2/29/2024,0.012621224,0.002761924,0.00223173
3/29/2024,0.042195543,0.002777967,0.008848951
4/30/2024,0.041732924,0.005261562,0.001635121
5/31/2024,0.018113648,0.008272679,0.004528855
6/28/2024,0.011144659,-0.00152448,0.001790169
7/31/2024,0.016413158,0.007297783,0.00079608
8/30/2024,0.00732783,0.012559609,0.005805227
9/30/2024,0.064436258,0.017323569,0.026165912
10/31/2024,-0.002664694,0.002840235,0.000857898
11/29/2024,0.087981241,5.82E-05,0.000954213
12/31/2024,0.005807134,0.00202644,0.002578945
1/31/2025,0.038726245,-0.000639206,-0.001156269
2/28/2025,0.021420394,0.007649816,0.00558733
3/31/2025,0.015621447,0.004432531,0.008370974
4/30/2025,-0.031284821,0.000349755,0.006751445
5/30/2025,0.045966131,0.011246301,0.007919052
6/30/2025,0.007608484,0.010955221,0.035310077
7/31/2025,0.03682042,0.016326367,0.022290274
8/29/2025,0.044966456,0.008890619,0.008880954
9/30/2025,0.001817078,0.008010938,0.012964558
10/31/2025,0.005994621,-0.001536775,-0.001857405
11/28/2025,-0.008077514,0.000500086,0.002301106
12/31/2025,0.004329589,0.000232579,-0.010577796
1/30/2026,0.025779135,-0.0005051,-0.003156264
2/27/2026,0.00304196,0.008430158,0.011441001
3/31/2026,-0.035926244,-0.009506651,-0.004384528
4/30/2026,0.005444567,0.010751079,0.004556574
5/29/2026,0.03361203,0.002049625,0.000956803
6/30/2026,0.041632516,0.004857015,0.005444876
7/31/2026,0.093367192,-4.71E-05,0.000927323
